source_id,destination_id,order_id
38,6,84
50,35,38
66,19,93
50,35,47
66,19,102
43,35,10
50,35,56
50,35,65
51,50,72
47,11,12
50,35,74
35,55,91
55,38,30
35,55,100
51,50,90
51,50,99
55,38,48
64,1,33
19,50,88
38,6,52
19,50,97
38,6,61
38,6,70
38,6,79
66,19,79
66,19,88
50,35,42
52,41,34
66,19,97
50,35,51
35,55,68
66,19,106
55,38,7
50,35,60
35,55,77
51,50,67
50,35,69
55,38,25
58,6,34
35,55,95
35,55,104
19,51,61
38,6,29
38,6,38
38,6,47
19,50,92
38,6,56
38,6,65
66,19,65
66,19,74
66,19,83
50,35,37
35,55,54
66,19,92
50,35,46
35,55,63
66,19,101
55,38,2
50,35,55
35,55,72
51,50,62
19,51,29
55,38,20
35,55,90
19,51,38
55,38,29
51,50,80
19,51,47
51,50,89
19,51,56
31,1,43
19,50,78
38,6,42
38,6,51
38,6,60
19,50,105
66,19,60
66,19,69
31,9,28
35,55,49
66,19,78
50,35,41
51,50,48
35,55,67
66,19,96
9,23,28
55,38,6
31,62,21
5,3,27
35,55,76
51,50,66
35,55,85
38,6,10
19,50,55
38,6,37
38,6,46
19,50,91
66,19,46
66,19,55
50,35,9
35,55,44
35,55,62
5,3,22
51,50,61
55,38,10
60,59,86
11,12,5
19,50,50
55,38,95
55,38,104
19,50,77
38,6,41
66,19,41
66,19,50
50,35,4
4,5,82
35,55,30
49,5,22
66,19,68
51,50,29
35,55,48
66,19,77
51,50,38
35,55,57
5,3,8
51,50,47
35,55,66
58,6,5
5,3,17
51,50,56
5,3,26
55,38,90
38,6,9
55,38,99
11,49,12
66,19,45
49,5,8
29,22,13
66,19,54
35,55,25
56,6,36
35,55,52
3,58,27
5,3,12
19,51,9
50,35,102
21,39,24
19,50,31
55,38,76
55,38,85
38,6,4
55,38,94
34,56,18
55,38,103
8,48,17
1,34,36
34,56,36
66,19,31
35,55,2
56,6,13
66,19,49
50,35,3
35,55,20
49,5,12
35,55,29
56,6,40
35,55,38
2,50,59
3,58,22
19,51,4
50,35,97
50,35,106
57,1,24
21,39,28
55,38,80
19,50,44
55,38,89
34,56,13
27,48,26
1,34,40
34,56,40
35,55,6
32,7,2
66,19,44
38,6,93
38,6,102
49,5,16
32,7,20
56,6,35
13,47,5
3,58,8
22,1,13
3,58,17
2,50,63
3,58,26
50,35,83
50,35,92
19,50,3
50,35,101
55,38,57
55,38,66
55,38,84
39,31,36
4,5,26
46,31,82
19,51,102
55,38,93
66,19,3
1,34,35
34,56,35
66,51,90
66,19,30
35,55,10
38,6,88
32,7,6
56,6,21
38,6,97
51,50,9
38,6,106
3,58,12
47,11,16
50,35,78
50,35,96
55,38,52
50,35,105
55,38,61
5,3,82
19,51,79
55,38,70
55,38,79
55,38,88
48,44,17
39,31,40
1,34,21
19,51,106
66,19,7
34,56,21
1,34,39
37,1,18
38,6,74
38,6,83
38,6,92
32,7,10
51,50,4
38,6,101
9,1,36
50,35,64
59,5,27
35,55,99
55,38,38
50,35,91
55,38,47
50,35,100
19,51,65
55,38,56
19,51,74
55,38,65
5,3,86
19,51,83
55,38,74
49,64,33
19,51,101
38,6,69
61,39,43
38,6,78
56,6,11
38,6,96
50,35,50
38,6,105
66,19,105
9,1,40
50,35,59
50,35,68
62,1,21
50,35,77
35,55,94
35,55,103
55,38,42
3,58,87
45,53,87
19,51,60
55,38,51
51,50,102
19,51,69
55,38,60
5,3,81
66,51,48
1,34,11
19,51,96
66,51,66
38,6,55
38,6,64
40,27,26
38,6,91
66,19,91
50,35,45
66,19,100
50,35,54
50,35,63
35,55,80
50,35,72
35,55,89
49,5,81
51,50,79
60,49,81
19,51,46
55,38,37
3,58,82
55,38,46
51,50,106
55,38,55
13,11,22
32,43,25
42,54,35
1,34,15
44,10,17
38,6,50
16,60,27
38,6,59
19,50,104
38,6,68
35,1,19
38,6,77
50,35,31
31,9,36
66,19,95
50,35,49
66,19,104
27,39,1
25,1,11
47,11,5
51,50,65
50,35,67
35,55,84
51,50,74
35,55,93
17,63,33
19,51,41
51,50,83
35,55,102
54,64,35
55,38,41
3,58,86
51,50,101
13,11,8
19,51,68
1,34,1
64,1,35
38,6,45
38,6,54
7,43,2
38,6,63
38,6,72
66,19,72
10,5,17
31,9,40
50,35,44
35,55,61
33,46,82
66,19,99
35,55,70
51,50,60
55,38,9
50,35,62
35,55,79
51,50,69
43,35,25
58,6,27
35,55,88
35,55,97
19,51,45
23,34,28
3,58,81
19,51,54
51,50,96
38,6,31
19,50,76
19,50,85
38,6,49
19,50,94
31,4,82
19,50,103
66,19,67
66,19,76
50,35,30
35,55,47
66,19,85
35,55,56
14,25,11
43,35,2
5,3,16
51,50,46
50,35,48
35,55,65
55,38,4
35,55,74
66,19,94
66,19,103
51,50,64
43,35,20
58,6,22
5,3,34
35,55,83
19,51,49
31,35,19
38,6,44
12,49,16
50,35,7
66,19,62
35,55,42
49,5,34
66,19,80
35,55,51
51,50,41
35,55,60
66,19,89
43,35,6
58,6,8
35,55,69
35,55,78
58,6,17
51,50,68
58,6,26
26,8,17
38,6,3
19,50,57
55,38,102
38,6,30
20,31,21
19,50,84
40,27,1
66,19,57
56,6,39
35,55,37
50,35,29
35,55,46
66,19,84
35,55,55
51,50,45
35,55,64
51,50,54
55,38,3
58,6,12
19,51,30
11,12,16
59,5,86
38,6,7
19,50,52
55,38,97
55,38,106
38,6,25
19,50,70
34,56,39
31,57,24
65,30,19
63,49,33
48,4,26
28,1,1
66,19,52
66,19,61
56,6,43
66,19,70
35,55,41
3,58,16
35,55,50
35,55,59
3,58,34
19,51,7
51,50,49
58,6,16
55,38,83
38,6,2
55,38,92
55,38,101
38,6,20
1,34,43
66,19,29
34,56,43
66,19,38
35,55,9
66,19,47
29,22,15
66,19,56
35,55,45
5,3,5
50,35,95
50,35,104
55,38,69
55,38,78
58,6,87
19,50,42
34,56,11
39,31,39
38,6,6
55,38,96
55,38,105
36,3,87
35,55,4
12,49,5
56,6,15
66,19,42
49,5,5
56,6,24
38,6,100
56,6,33
35,55,31
16,60,86
13,47,12
51,50,30
50,35,90
50,35,99
55,38,64
58,6,82
19,50,37
21,39,39
19,51,100
55,38,91
34,56,15
39,31,43
1,34,24
55,38,100
34,56,24
1,34,33
34,56,33
56,6,1
66,19,37
11,49,22
56,6,19
38,6,95
39,28,1
29,22,14
51,50,7
56,6,28
16,60,81
38,6,104
9,1,39
22,1,15
13,47,16
50,35,76
50,35,85
24,39,40
50,35,94
55,38,50
15,37,18
50,35,103
55,38,59
55,38,68
55,38,77
34,56,1
58,6,86
19,51,95
1,34,19
34,56,19
34,56,28
11,49,8
7,43,20
35,55,3
56,6,14
38,6,90
60,59,27
38,6,99
3,58,5
30,31,19
2,50,51
53,36,87
50,35,80
50,35,89
35,55,106
55,38,45
55,38,54
19,51,72
55,38,63
55,38,72
39,31,24
58,6,81
1,34,14
19,51,99
34,56,14
66,19,9
7,43,6
38,6,67
38,6,76
35,55,7
38,6,85
56,6,18
38,6,94
38,6,103
41,49,34
50,35,57
22,1,14
50,35,66
35,55,92
18,39,36
55,38,31
50,35,84
35,55,101
50,35,93
51,50,100
55,38,49
19,51,67
55,38,67
39,31,28
1,34,18
66,51,64
66,19,4
38,6,62
7,43,10
38,6,80
38,6,89
31,9,39
50,35,52
50,35,61
50,35,70
50,35,79
35,55,96
50,35,88
35,55,105
51,50,95
55,38,44
19,51,62
55,38,62
19,51,80
19,51,89
1,34,13
38,6,48
19,50,93
38,6,57
38,6,66
