id,site_id,carrier_id,tt_weight
1,1,1,0.5
2,1,2,0.5
3,1,3,0.5
4,1,4,0.5
5,1,5,0.5
6,1,6,0.5
7,1,7,0.5
8,1,8,0.5
9,1,9,0.5
10,1,10,0.5
11,1,11,0.5
12,1,12,0.5
13,1,13,0.5
14,1,14,0.5
15,1,15,0.5
16,1,16,0.5
17,1,17,0.5
18,1,18,0.5
19,1,19,0.5
20,1,20,0.5
21,2,1,0.5
22,2,2,0.5
23,2,3,0.5
24,2,4,0.5
25,2,5,0.5
26,2,6,0.5
27,2,7,0.5
28,2,8,0.5
29,2,9,0.5
30,2,10,0.5
31,2,11,0.5
32,2,12,0.5
33,2,13,0.5
34,2,14,0.5
35,2,15,0.5
36,2,16,0.5
37,2,17,0.5
38,2,18,0.5
39,2,19,0.5
40,2,20,0.5
41,3,1,0.5
42,3,2,0.5
43,3,3,0.5
44,3,4,0.5
45,3,5,0.5
46,3,6,0.5
47,3,7,0.5
48,3,8,0.5
49,3,9,0.5
50,3,10,0.5
51,3,11,0.5
52,3,12,0.5
53,3,13,0.5
54,3,14,0.5
55,3,15,0.5
56,3,16,0.5
57,3,17,0.5
58,3,18,0.5
59,3,19,0.5
60,3,20,0.5
61,4,1,0.5
62,4,2,0.5
63,4,3,0.5
64,4,4,0.5
65,4,5,0.5
66,4,6,0.5
67,4,7,0.5
68,4,8,0.5
69,4,9,0.5
70,4,10,0.5
71,4,11,0.5
72,4,12,0.5
73,4,13,0.5
74,4,14,0.5
75,4,15,0.5
76,4,16,0.5
77,4,17,0.5
78,4,18,0.5
79,4,19,0.5
80,4,20,0.5
81,5,1,0.5
82,5,2,0.5
83,5,3,0.5
84,5,4,0.5
85,5,5,0.5
86,5,6,0.5
87,5,7,0.5
88,5,8,0.5
89,5,9,0.5
90,5,10,0.5
91,5,11,0.5
92,5,12,0.5
93,5,13,0.5
94,5,14,0.5
95,5,15,0.5
96,5,16,0.5
97,5,17,0.5
98,5,18,0.5
99,5,19,0.5
100,5,20,0.5
101,6,1,0.5
102,6,2,0.5
103,6,3,0.5
104,6,4,0.5
105,6,5,0.5
106,6,6,0.5
107,6,7,0.5
108,6,8,0.5
109,6,9,0.5
110,6,10,0.5
111,6,11,0.5
112,6,12,0.5
113,6,13,0.5
114,6,14,0.5
115,6,15,0.5
116,6,16,0.5
117,6,17,0.5
118,6,18,0.5
