source_id,destination_id,order_id
31,29,3
25,12,19
52,12,3
31,29,30
21,26,39
31,29,39
29,57,36
1,22,16
37,58,18
29,57,45
49,41,5
12,31,43
54,57,21
21,52,42
25,61,23
49,41,32
41,57,5
21,26,7
31,29,7
41,57,32
2,21,44
12,31,20
36,37,18
5,49,22
50,51,13
24,34,22
12,31,29
29,57,40
12,31,47
44,35,25
31,29,2
2,21,30
2,21,39
31,29,20
19,59,33
12,31,6
5,49,8
24,34,8
5,49,17
12,31,24
5,49,26
29,57,35
29,57,44
54,57,11
12,31,42
8,48,19
25,39,21
31,29,6
2,21,43
35,6,25
29,57,3
12,31,10
5,49,12
29,57,30
30,6,17
12,31,28
49,41,8
2,21,29
58,54,41
2,21,47
59,37,31
29,57,7
26,52,43
44,35,1
25,60,34
2,21,42
29,57,2
43,25,38
12,31,9
26,52,47
34,1,16
60,37,34
25,60,38
2,21,28
58,54,31
52,12,40
29,57,6
21,52,3
32,22,32
40,37,1
25,37,41
12,37,19
52,12,35
52,12,44
43,25,37
37,58,41
26,52,28
4,36,18
26,52,46
2,21,9
58,54,21
52,12,30
52,12,39
43,25,23
43,25,41
9,28,26
10,45,2
2,26,46
52,12,7
21,26,43
31,29,43
16,34,12
52,12,43
37,58,13
43,25,27
37,58,31
26,52,9
42,43,41
54,57,34
26,52,36
13,43,34
58,54,11
21,26,29
31,29,29
21,26,47
31,29,47
52,12,29
16,34,16
47,19,33
26,52,4
49,41,22
51,37,15
54,57,38
22,5,5
10,55,24
41,57,22
31,29,24
38,22,31
31,29,42
45,55,2
45,55,20
29,57,39
37,58,21
54,57,15
12,31,46
49,41,17
24,16,12
49,41,26
54,57,33
6,27,25
56,43,37
41,57,8
41,57,17
41,57,26
31,29,10
58,54,1
21,26,28
31,29,28
31,29,46
45,55,6
5,49,16
1,22,5
5,49,25
54,57,1
29,57,43
49,41,12
54,57,19
21,52,40
24,16,16
51,37,14
54,57,37
56,43,23
55,12,2
55,12,20
41,57,12
29,57,20
45,55,10
29,57,29
37,58,11
12,31,36
29,57,47
54,57,14
12,31,45
21,52,35
49,41,16
54,57,23
43,40,1
49,41,25
56,43,27
55,12,6
41,57,16
21,26,9
41,57,25
31,29,9
6,3,17
12,31,4
29,57,24
50,51,15
29,57,42
12,31,40
21,52,30
54,57,18
60,37,38
55,12,10
14,32,32
21,26,4
31,29,4
39,37,21
29,57,10
29,57,28
12,31,35
25,60,37
2,21,36
2,21,45
12,31,3
5,49,5
10,45,20
60,37,37
2,21,4
58,54,34
2,21,40
59,37,33
11,20,11
29,57,9
12,31,7
26,52,45
34,1,5
10,45,6
25,60,27
2,21,35
58,54,38
52,12,47
29,57,4
12,31,2
22,59,31
10,45,10
22,5,32
2,21,3
58,54,15
58,54,33
52,12,42
26,52,44
53,38,31
17,30,17
60,18,27
2,21,7
58,54,19
52,12,28
58,54,37
52,12,46
37,58,34
34,22,22
26,52,39
22,5,22
23,9,26
58,54,14
58,54,23
43,25,34
26,52,7
37,58,38
34,22,8
54,57,41
22,5,8
55,12,24
7,43,38
52,12,9
58,54,18
18,58,27
21,26,36
31,29,36
58,54,27
16,34,5
15,25,21
21,26,45
31,29,45
52,12,36
52,12,45
37,58,15
37,58,33
54,57,27
51,37,13
61,37,23
34,22,12
26,52,29
22,5,12
3,46,17
52,12,4
58,54,13
31,29,40
27,5,25
37,58,1
37,58,19
29,57,46
54,57,13
12,31,44
37,58,37
54,57,31
35,43,1
48,25,19
22,5,16
20,37,11
31,29,35
21,26,44
28,5,26
31,29,44
50,51,14
12,31,30
37,58,14
5,49,32
12,31,39
37,58,23
24,16,5
46,5,17
