id,name,type
1,"MINNEAPOLIS, MINNESOTA, US",INTERMEDIATE
2,3,SUPPLIER_SITE
3,"GUANGZHOU, GUANGDONG, CN",INTERMEDIATE
4,"BRATISLAVA, BRATISLAVA REGION, SK",INTERMEDIATE
5,"PEABODY, MASSACHUSETTS, US",INTERMEDIATE
6,"HONG KONG, UNKNOWN, HK",INTERMEDIATE
7,"SAN JOSÉ, SAN JOSÉ, CR",INTERMEDIATE
8,2,SUPPLIER_SITE
9,"SHENZHEN, GUANGDONG, CN",INTERMEDIATE
10,"PARIS, ÎLE-DE-FRANCE, FR",INTERMEDIATE
11,14,SUPPLIER_SITE
12,4,SUPPLIER_SITE
13,17,SUPPLIER_SITE
14,"TREVIOLO, LOMBARDY, IT",INTERMEDIATE
15,"CASTLE DONINGTON, ENGLAND, GB",INTERMEDIATE
16,"LOUISVILLE, KENTUCKY, US",INTERMEDIATE
17,"CINCINNATI, OHIO, US",INTERMEDIATE
18,"NEW YORK, NEW YORK, US",INTERMEDIATE
19,"MANSFIELD, TEXAS, US",INTERMEDIATE
20,"COLOGNE, NORTH RHINE-WESTPHALIA, DE",INTERMEDIATE
21,"LEEDS, ENGLAND, GB",INTERMEDIATE
22,"GDANSK, POMERANIA, PL",INTERMEDIATE
23,7,SUPPLIER_SITE
24,"LONATE POZZOLO, LOMBARDY, IT",INTERMEDIATE
25,12,SUPPLIER_SITE
26,"LONDON, ENGLAND, GB",INTERMEDIATE
27,19,SUPPLIER_SITE
28,1,SUPPLIER_SITE
29,"WARSAW, MAZOVIA, PL",INTERMEDIATE
30,"DONGGUAN, GUANGDONG, CN",INTERMEDIATE
31,6,SUPPLIER_SITE
32,5,SUPPLIER_SITE
33,"BRESCIA, LOMBARDY, IT",INTERMEDIATE
34,11,SUPPLIER_SITE
35,"RIFFA, SOUTHERN GOVERNORATE, BH",INTERMEDIATE
36,"BERGAMO, LOMBARDY, IT",INTERMEDIATE
37,"FARGO, NORTH DAKOTA, US",INTERMEDIATE
38,"BRUSSELS, BRUSSELS CAPITAL, BE",INTERMEDIATE
39,13,SUPPLIER_SITE
40,10,SUPPLIER_SITE
41,"BOCA RATON, FLORIDA, US",INTERMEDIATE
42,15,SUPPLIER_SITE
43,"NEW DELHI, DELHI, IN",INTERMEDIATE
44,16,SUPPLIER_SITE
45,"LEIPZIG, SAXONY, DE",INTERMEDIATE
46,"ZHUHAI, GUANGDONG, CN",INTERMEDIATE
47,"GRAND PRAIRIE, TEXAS, US",INTERMEDIATE
48,"HO CHI MINH CITY, HO CHI MINH, VN",INTERMEDIATE
49,"ISTANBUL, ISTANBUL, TR",INTERMEDIATE
50,8,SUPPLIER_SITE
51,9,SUPPLIER_SITE
52,"GRASSOBBIO, LOMBARDY, IT",INTERMEDIATE
53,1,MANUFACTURER
54,"THIEF RIVER FALLS, MINNESOTA, US",INTERMEDIATE
55,"FRANKFURT AM MAIN, HESSE, DE",INTERMEDIATE
56,"ROME, LAZIO, IT",INTERMEDIATE
57,"DUBAI, DUBAI, AE",INTERMEDIATE
58,"NEWARK, DELAWARE, US",INTERMEDIATE
59,"FORT WORTH, TEXAS, US",INTERMEDIATE
60,"SERIATE, LOMBARDY, IT",INTERMEDIATE
61,18,SUPPLIER_SITE
